Crop,ScientificName,Symbol,NuContAvailable,PlantPartHarvested,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,YieldUnitWeight(lb)_Bau,YieldUnitWeight(lb)_Joh,YieldUnitWeight(lb)_Roberts,YieldUnitWeight(lb)_WEEP,YieldUnitWeight(lb)_Men,YieldUnitWeight(lb)_Guy,YieldUnitWeight(lb)_Mc,YieldUnitWeight(lb)_Mah,YieldUnitWeight(lb)_Sha,YieldUnitWeight(lb)_Sch,YieldUnitWeight(lb)_Atu,YieldUnitWeight(lb)_Zim,YieldUnitWeight(lb)_Scu,YieldUnitWeight(lb)_John,YieldUnitWeight(lb)_Arc,DryMatter%_M-FF,DryMatter%_NAS,DryMatter%_F&L,DryMatter%_F&N,DryMatter%_Alb,DryMatter%_Est1,DryMatter%_Est2,DryMatter%_Est3,DryMatter%_Est4,DryMatter%_Est5,DryMatter%_Est6,DryMatter%_M&R,DryMatter%_M&L,DryMatter%_Sun,DryMatter%_Gro,DryMatter%_AgH8-9,DryMatter%_AgH8-12,DryMatter%_B788,AvDryMatter%,N%(dry)_NAS,N%(dry)_F&L,N%(dry)_F&N,N%(dry)_Swa,N%(dry)_Chapko,N%(dry)_Hill,N%(dry)_Bru,N%(dry)_AgH8-9,N%(dry)_AgH8-12,N%(dry)_B788,N%(dry)_M&L,N%(dry)_M-FF,N%(dry)_M&R,N%(dry)_Foster,N%(dry)_Rob1,N%(dry)_Rob2,N%(dry)_Coa,N%(dry)_And,N%(dry)_Gol1,N%(dry)_Gol2,N%(dry)_Wol,N%(dry)_Pete,N%(dry)_Col,N%(dry)_Alb,N%(dry)_Arc,N%(dry)_Bis,N%(dry)_Gar,N%(dry)_Heg,N%(dry)_Flo,N%(dry)_Feil,N%(dry)_Bre,N%(dry)_Burns,N%(dry)_Coc,P%(dry)_M-FF,P%(dry)_NAS,P%(dry)_F&L,P%(dry)_F&N,P%(dry)_AgH8-9,P%(dry)_AgH8-12,P%(dry)_B788,P%(dry)_M&L,P%(dry)_L&V,P%(dry)_Foster,P%(dry)_Rob1,P%(dry)_Rob2,P%(dry)_Coa,P%(dry)_And,P%(dry)_Gol1,P%(dry)_Gol2,P%(dry)_Sims,P%(dry)_Wol,P%(dry)_Pete,P%(dry)_Col,P%(dry)_Alb,P%(dry)_Arc,P%(dry)_Swa,P%(dry)_Rei,K%(dry)_M-FF,K%(dry)_NAS,K%(dry)_F&L,K%(dry)_F&N,K%(dry)_AgH8-9,K%(dry)_AgH8-12,K%(dry)_B788,K%(dry)_Foster,K%(dry)_Rob1,K%(dry)_Rob2,K%(dry)_Coa,K%(dry)_And,K%(dry)_Gol1,K%(dry)_Gol2,K%(dry)_Sims,K%(dry)_Wol,K%(dry)_Pete,K%(dry)_Col,K%(dry)_Alb,K%(dry)_Arc,K%(dry)_Swa,K%(dry)_Rei,Moisture%_M&R,Moisture%_M&L,Moisture%_Sun,Moisture%_Gro,gWater/100g_AgH8-9,gWater/100g_AgH8-12,gWater/100g_B788,Protein%(dry)_NAS,Protein%(dry)_F&L,Protein%(dry)_F&N,Protein%(dry)_Swa,Protein%(dry)_Chapko,Protein%(dry)_Hill,Protein%(dry)_Bru,Protein%(dry)_Bis,Protein%(dry)_Gar,Protein%(dry)_Heg,Protein%(dry)_Flo,Protein%(dry)_Feil,Protein%(dry)_Bre,Protein%(dry)_Burns,gProtein/100g(wet)_AgH8-9,gProtein/100g(wet)_AgH8-12,gProtein/100g(wet)_B788,Protein%(wet)_M&L,N%(wet)_M-FF,P%(wet)_M-FF,gP/100g(wet)_AgH8-9,gP/100g(wet)_AgH8-12,gP/100g(wet)_B788,P%(wet)_M&L,K%(wet)_M-FF,gK/100g(wet)_AgH8-9,gK/100g(wet)_AgH8-12,gK/100g(wet)_B788,
Macadamia Nut (dry),Macadamia integrifolia,MAIN8,"N,P,K",Nut,Tree and fruit,lb of nut,1,2.88,1.36738056,0.140032949,0.378912685,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.12,,97.12,,,,,,,,,1.36738056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140032949,,,,,,,,,,,,,,,,,,,,,,,,0.378912685,,,,,,,,,,,,,,,,,,,,,,2.88,,,,,,,,,,,,,,,,,8.3,,,,,,0.136,,,,,0.368,,
Mammee apple,Mammea americana,MAAM2,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,86.2,0.579710145,0.079710145,0.34057971,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,,,13.8,,,,,,,,0.579710145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079710145,,,,,,,,,,,,,,,,,,,,,,,,0.34057971,,,,,,,,,,,,,,,,,,,,,,86.2,,,,,,,,,,,,,,,,,0.5,,,,,,0.011,,,,,0.047,,,
Mango,Mangifera indica,MAIN3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,81.71,0.446145435,0.060142154,0.852925096,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.29,,,18.29,,,,,,,,0.446145435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.060142154,,,,,,,,,,,,,,,,,,,,,,,,0.852925096,,,,,,,,,,,,,,,,,,,,,,81.71,,,,,,,,,,,,,,,,,0.51,,,,,,0.011,,,,,0.156,,,
Melon-Canteloupe,Cucumis melo,CUME,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,89.89,1.488845401,0.362113503,3.161741683,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.22,,10,10.11,,,,,,,,1.377690802,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166340509,,0.39,,0.53,,,,,,,,,,,,,,,,,,,,3.023483366,,3.3,,,,,,,,,,,,,,,,,,,,89.78,,90,,,,,,,,,,,,,,,0.88,,1,,,,0.017,,0.039,,,0.309,,0.33,
Melon-Casaba,Cucumis melo,CUME,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,92,1.5,0.0875,2.625,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,8,8,,,,,,,,1.8,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0875,,0.0875,,,,,,,,,,,,,,,,,,,,,,2.625,,2.625,,,,,,,,,,,,,,,,,,,,92,,92,,,,,,,,,,,,,,,0.9,,0.6,,,,0.007,,0.007,,,0.21,,0.21,
Melon-Honeydew,Cucumis melo,CUME,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,88.33,0.909745574,0.164801369,2.579675644,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.34,,13,11.67,,,,,,,,0.711798839,,1.107692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096711799,,0.107692308,,0.29,,,,,,,,,,,,,,,,,,,,2.620889749,,2.538461539,,,,,,,,,,,,,,,,,,,,89.66,,87,,,,,,,,,,,,,,,0.46,,0.9,,,,0.01,,0.014,,,0.271,,0.33,
Melon-Waternelon,Citrullus lanatus,CILA3,"N,P,K",Fruit,Tree and fruit,cwt,100,90.84,1.113580683,0.112002356,1.333156655,100,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,8.49,,10,9.16,,,,,,,,1.13074205,,0.96,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,0.106007067,,0.09,,0.14,,,,,,,,,,,,,,,,,,,,1.36631331,,1.3,,,,,,,,,,,,,,,,91,,,,91.51,,90,,,,,,,,,,,,,,,0.6,,0.6,,,,0.009,,0.009,,,0.116,,0.13,
"Millet-Foxtail, for grain",Setaria italica,SEIT,"N,P,K",Floret,Cereal and oil,bu,50,10.62,2.1127641,0.343616723,0.349307894,50,,,,,,,,,,,,,,,,89.1,89.3,89.6,89,,,,,,,,,89.9,,,,,,89.38,2.16,1.936,2.048,,,,,,,,2.242491657,2.177328844,,,,,,,,,,,,,,,,,,,,,,0.224466891,0.22,0.47,0.46,,,,,,,,,,,,,,,,,,,,,0.347923681,0.35,0.35,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,13.5,12.1,12.8,,,,,,,,,,,,,,,12.6,1.94,0.2,,,,,0.31,,,,
"Millet-Foxtail, for green chop and silage (late bloom)",Setaria italica,SEIT,"N,P,K",Aboveground biomass,Forage,ton,2000,72.45,1.594131488,0.18150519,1.94,"2,000",,,,,,,,,,,,,,,,,26.2,,,,,,,,,,,28.9,,,,,,27.55,1.472,,,,,,,,,,1.716262976,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,0.173010381,,,,,,,,,,,,,,,,,,1.94,,,,,,,,,,,,,,,,,,,,,,71.1,,,,,,9.2,,,,,,,,,,,,,,,,,3.1,,,,,,0.05,,,,,
"Millet-Foxtail, for hay",Setaria italica,SEIT,N,Aboveground biomass,Forage,ton,2000,7,1.582795699,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,93,,,,,,,,,,,1.582795699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,9.2,,,,,,,,,,,
"Millet-Foxtail, for straw",Setaria italica,SEIT,"N,K",Straw,Cereal and oil,ton,2000,10.67,0.673925926,#DIV/0!,1.6,"2,000",,,,,,,,,,,,,,,,90,,88,90,,,,,,,,,,,,,,,89.33,,0.672,0.672,,,,,,,,,0.677777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.2,,,,,,,,,,,,,,,,0.61,,,,,,1.44,,,,
"Millet-Pearl, for grain",Pennisetum glaucum,PEGL2,"N,P,K",Floret,Cereal and oil,bu,50,10.1,2.216,0.375,0.39,50,,,,,,,,,,,,,,,,,89.1,90.7,,,,,,,,,,,,,,,,89.9,2.208,2.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.32,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Millet-Pearl, for green chop and silage (milk to soft dough stage)",Pennisetum glaucum,PEGL2,"N,P,K",Aboveground biomass,Forage,ton,2000,78.4,1.544,0.26,1.63,"2,000",,,,,,,,,,,,,,,,,21.6,,,,,,,,,,,,,,,,,21.6,1.104,,,,,1.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,12.4,,,,,,,,,,,,,,,,,,,,,,,
"Millet-Pearl, for hay",Pennisetum glaucum,PEGL2,N,Aboveground biomass,Forage,ton,2000,10.1,1.601779755,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,89.9,,,,,,89.9,,,,,,,,,,,1.601779755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
"Millet-Pearl, for straw",Pennisetum glaucum,PEGL2,"N,K",Straw,Cereal and oil,lb straw/lb grain,1.55,10,0.677777778,#DIV/0!,1.6,,,,,,,,,1.55,,,,,,,,90,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,0.677777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,1.44,,,,
"Millet-Proso, for grain",Panicum miliaceum,PAMI2,"N,P,K",Floret,Cereal and oil,bu,56,9.9,2.080332743,0.335464602,0.478554572,56,,,,,,,,,,,,,,,,90.4,90,89.7,90,,,,,,,,,90.4,,,,,,90.1,2.048,2.064,2.064,,,,,,,,2.123893805,2.101769912,,,,,,,,,,,,,,,,,,,,,,0.331858407,0.34,0.33,0.34,,,,,,,,,,,,,,,,,,,,,0.475663717,0.48,0.48,,,,,,,,,,,,,,,,,,,,,9.6,,,,,,12.8,12.9,12.9,,,,,,,,,,,,,,,12,1.9,0.3,,,,,0.43,,,,
"Millet-Proso, for straw",Panicum miliaceum,PAMI2,"N,K",Straw,Cereal and oil,lb straw/bu grain,84.5,10,0.677777778,#DIV/0!,1.6,,,,,,,,,,84.5,,,,,,,90,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,0.677777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,1.44,,,,
"Mustard, for seed",Brassica spp,BRASS2,N,Seed,Vegetable,cwt,100,4.1,3.837330553,#DIV/0!,#DIV/0!,100,,,,,,,,,,,,,,,,95.9,,,,,,,,,,,,,,,,,,95.9,,,,,,,,,,,,3.837330553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68,,,,,,,,,,
"Mint, for hay (mature)",Mentha sp.,MENTH,"N,P",Aboveground biomass,Fiber and miscellaneous,ton,2000,12.27,2.336,0.22,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,87.5,87.7,88,,,,,,,,,,,,,,,87.73,2.336,2.336,2.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.22,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,14.6,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Mulberry,Morus nigra,MONI,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,87.68,1.87012987,0.308441558,1.574675325,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.32,,,12.32,,,,,,,,1.87012987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308441558,,,,,,,,,,,,,,,,,,,,,,,,1.574675325,,,,,,,,,,,,,,,,,,,,,,87.68,,,,,,,,,,,,,,,,,1.44,,,,,,0.038,,,,,0.194,,,
Mungbean,Vigna radiata var. radiata,VIRAR2,"N,P,K",Seed,Vegetable,lb of seed,1,10.23,4.117333333,0.4,1.326666667,1,,,,,,,,,,,,,,,,,89.8,89.5,90,,,,,,,,,,,,,,,89.77,4.256,3.84,4.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.44,0.38,,,,,,,,,,,,,,,,,,,,,,1.15,1.68,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,24,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Mushroom,Agaricus sp.,,"N,P,K",Friut,Fiber and miscellaneous,lb of fruit ,1,92,5.8,1.125,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.125,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,2.9,,,,,,0.09,,,,,0.32,
"Mustard, for greens (immature leaf)",Brassica juncea,BRJU,"N,P,K",Leaf,Vegetable,lb of leaf,1,91,4.8,0.5,3.777777778,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,3.777777778,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,2.7,,,,,,0.045,,,,,0.34,
"Mustard, for hay",Brassica sp.,BRASS2,N,Aboveground biomass,Vegetable,ton,2000,17.5,2.832,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,,,,,,,,82.5,,,,,,,,,,82.5,2.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natalgrass for hay,Melinis repens,MERE9,"N,P",Aboveground biomass,Forage,ton,2000,7.5,0.64,0.345945946,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,92.5,,,,,,92.5,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345945946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,0.32,,,,,
Nectarine,Prunus persica var. nectarina,PRPEN,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,86.28,1.096209913,0.116618076,1.545189504,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.72,,,13.72,,,,,,,,1.096209913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116618076,,,,,,,,,,,,,,,,,,,,,,,,1.545189504,,,,,,,,,,,,,,,,,,,,,,86.28,,,,,,,,,,,,,,,,,0.94,,,,,,0.016,,,,,0.212,,,
"Oat, for grain (not including Pacific Coast)",Avena sativa,AVSA,"N,P,K",Floret,Cereal and oil,bu,32,10.67,2.093241724,0.381844621,0.464179601,32,,,,,,,,,,,,,,,,90.2,88.9,89.6,89,,,,,,,,86,92.3,,,,,,89.33,2.112,1.968,1.984,,,,,,,,2.166847237,2.128603104,2.2,,,,,,,,,,,,,,,,,,,,,0.365853659,0.37,0.36,0.38,,,,0.433369447,,,,,,,,,,,,,,,,,0.476718404,0.48,0.45,0.45,,,,,,,,,,,,,,,,,,,14,7.7,,,,,,13.2,12.3,12.4,,,,,,,,,,,,,,,12.5,1.92,0.33,,,,0.4,0.43,,,,
"Oat, for grain (Pacific coast)",Avena sativa,AVSA,"N,P,K",Floret,Cereal and oil,bu,32,8.87,1.587649123,0.335,0.42,32,,,,,,,,,,,,,,,,91.2,91.2,,91,,,,,,,,,,,,,,,91.13,1.584,,1.6,,,,,,,,,1.578947368,,,,,,,,,,,,,,,,,,,,,,,0.33,,0.34,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,,10,,,,,,,,,,,,,,,,1.44,,,,,,,,,,
"Oat, for green chop",Avena sativa,AVSA,"N,P,K",Aboveground biomass,Forage,ton,2000,78.9,2.12,0.24,1.89,"2,000",,,,,,,,,,,,,,,,,20.4,21.8,,,,,,,,,,,,,,,,21.1,1.728,2.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oat, for green chop (boot to early bloom)",Avena sativa,AVSA,"N,P,K",Aboveground biomass,Forage,ton,2000,73.97,1.97593985,0.339448622,1.879899749,"2,000",,,,,,,,,,,,,,,,26.6,26.6,24.9,,,,,,,,,,,,,,,,26.03,1.968,2.272,,,2.16,,,,,,,1.503759399,,,,,,,,,,,,,,,,,,,,,,0.338345865,0.34,0.34,,,,,,,,,,,,,,,,,,,,,,1.879699248,1.88,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,14.2,,,13.5,,,,,,,,,,,,,0,0.4,0.09,,,,,0.5,,,,
"Oat, for green chop (dough stage)",Avena sativa,AVSA,"P,K",Aboveground biomass,Forage,ton,2000,70.93,#DIV/0!,0.253333333,1.933333333,"2,000",,,,,,,,,,,,,,,,,25.6,30.6,31,,,,,,,,,,,,,,,29.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,2.34,1.73,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
"Oat, for green chop (full bloom)",Avena sativa,AVSA,"P,K",Aboveground biomass,Forage,ton,2000,67.8,#DIV/0!,0.31,2.07,"2,000",,,,,,,,,,,,,,,,,32.2,,,,,,,,,,,,,,,,,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oat, for green chop (mature)",Avena sativa,AVSA,"N,P",Aboveground biomass,Forage,ton,2000,72,1.43542857,0.282857145,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,28,1.328,,,,,,,,,,1.54285714,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,0.28571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,8.3,,,,,,,,,,,,,,,,,2.7,,,,,,0.08,,,,,
"Oat, for green chop (vegetative)",Avena sativa,AVSA,"N,P",Aboveground biomass,Forage,ton,2000,83.68,2.886921987,0.473532241,#DIV/0!,"2,000",,,,,,,,,,,,,,,,14.1,14.2,19.9,16,,,,,,,,,17.4,,,,,,16.32,,2.768,2.496,,,,,,,,2.66666667,3.617021277,,,,,,,,,,,,,,,,,,,,,,0.638297872,,0.38,,,,,0.40229885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.6,,,,,,,17.3,15.6,,,,,,,,,,,,,,,2.9,0.51,0.09,,,,0.07,,,,,
"Oat, for hay",Avena sativa,AVSA,"N,P,K",Aboveground biomass,Forage,ton,2000,10.24,1.373104523,0.237019425,1.260527809,"2,000",,,,,,,,,,,,,,,,88.1,90.7,90.8,91,,,,,,,,,88.2,,,,,,89.76,1.36,1.392,1.52,,,,,,,,1.106575964,1.486946652,,,,,,,,,,,,,,,,,,,,,,0.215664018,0.22,0.25,0.25,,,,0.249433107,,,,,,,,,,,,,,,,,0.942111237,0.94,1.67,1.49,,,,,,,,,,,,,,,,,,,,11.8,,,,,,8.5,8.7,9.5,,,,,,,,,,,,,,,6.1,1.31,0.19,,,,0.22,0.83,,,,
"Oat, for hay (dough stage)",Avena sativa,AVSA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.1,1.456,0.203333333,1.53,"2,000",,,,,,,,,,,,,,,,,88.7,92,92,,,,,,,,,,,,,,,90.9,1.36,1.504,1.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.22,0.22,,,,,,,,,,,,,,,,,,,,,,,1.53,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,9.4,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oat, for hay (early bloom)",Avena sativa,AVSA,N,Aboveground biomass,Forage,ton,2000,10.9,1.536,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,85.5,92.7,,,,,,,,,,,,,,,,89.1,1.536,1.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oat, for hay (full bloom)",Avena sativa,AVSA,"N,P,K",Aboveground biomass,Forage,ton,2000,14.2,1.472,0.35,2.41,"2,000",,,,,,,,,,,,,,,,,85,86.6,,,,,,,,,,,,,,,,85.8,1.472,1.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.35,,,,,,,,,,,,,,,,,,,,,,,2.41,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oat, for hay (mature)",Avena sativa,AVSA,"N,P",Aboveground biomass,Forage,ton,2000,8.65,1.232,0.23,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,91.7,91,,,,,,,,,,,,,,,,91.35,1.28,1.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oat, for hay (milk stage)",Avena sativa,AVSA,"N,P",Aboveground biomass,Forage,ton,2000,12.1,1.336,0.2,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,87.9,87.9,,,,,,,,,,,,,,,,87.9,1.344,1.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oat, for hay (vegetative)",Avena sativa,AVSA,"N,P",Aboveground biomass,Forage,ton,2000,9.9,2.208,0.43,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,89.2,,91,,,,,,,,,,,,,,,90.1,2.208,,2.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oat, green chop (milk stage)",Avena sativa,AVSA,"N,P,K",Aboveground biomass,Forage,ton,2000,73.43,1.450586466,0.339172932,2.149849624,"2,000",,,,,,,,,,,,,,,,26.6,28.2,24.9,,,,,,,,,,,,,,,,26.57,1.44,1.408,,,,,,,,,,1.503759399,,,,,,,,,,,,,,,,,,,,,,0.338345865,,0.34,,,,,,,,,,,,,,,,,,,,,,1.879699248,,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8.8,,,,,,,,,,,,,,,,,0.4,0.09,,,,,0.5,,,,
"Oat, straw (not including Pacific coast)",Avena sativa,AVSA,"N,P,K",Straw,Cereal and oil,lb straw/bu grain,44.5,9.68,0.706193318,0.085055679,2.389292873,,44.8,,,44.2,,,,,,,,,,,,89.8,88.6,91.2,92,,,,,,,,90,,,,,,,90.32,0.688,0.704,0.704,,,,,,,,,0.734966592,0.7,,,,,,,,,,,,,,,,,,,,,0.100222717,0.1,0.07,0.07,,,,,,,,,,,,,,,,,,,,,2.227171492,2.23,2.55,2.55,,,,,,,,,,,,,,,,,,,10,,,,,,,4.3,4.4,4.4,,,,,,,,,,,,,,,,0.66,0.09,,,,,2,,,,
"Oat, straw (Pacific Coast)",Avena sativa,AVSA,"N,P,K",Straw,Cereal and oil,lb straw/bu grain,44.5,10.2,0.734966592,0.100222717,2.227171492,,44.8,,,44.2,,,,,,,,,,,,89.8,,,,,,,,,,,,,,,,,,89.8,,,,,,,,,,,,0.734966592,,,,,,,,,,,,,,,,,,,,,,0.100222717,,,,,,,,,,,,,,,,,,,,,,,,2.227171492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.09,,,,,2,,,,
"Oatgrass-Tall, for hay",Arrhenatherum elatius,AREL3,N,Aboveground biomass,Forage,ton,2000,8.1,1.63656148,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,91.9,,,,,,91.9,,,,,,,,,,,1.63656148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,,,,,,,,
